month,price
01/01/90,$63.00
02/01/90,$67.00
03/01/90,$75.00
04/01/90,$75.00
05/01/90,$73.00
06/01/90,$70.00
07/01/90,$68.00
08/01/90,$74.00
09/01/90,$76.00
10/01/90,$74.00
11/01/90,$70.00
12/01/90,$73.00
01/01/91,$69.00
02/01/91,$71.00
03/01/91,$72.00
04/01/91,$71.00
05/01/91,$67.00
06/01/91,$66.00
07/01/91,$64.00
08/01/91,$63.00
09/01/91,$67.00
10/01/91,$63.00
11/01/91,$64.00
12/01/91,$63.00
01/01/92,$61.00
02/01/92,$56.00
03/01/92,$56.00
04/01/92,$54.00
05/01/92,$49.00
06/01/92,$48.00
07/01/92,$49.00
08/01/92,$46.00
09/01/92,$47.00
10/01/92,$53.00
11/01/92,$57.00
12/01/92,$64.00
01/01/93,$58.00
02/01/93,$57.00
03/01/93,$55.00
04/01/93,$51.00
05/01/93,$54.00
06/01/93,$55.00
07/01/93,$61.00
08/01/93,$68.00
09/01/93,$72.00
10/01/93,$68.00
11/01/93,$70.00
12/01/93,$72.00
01/01/94,$69.00
02/01/94,$72.00
03/01/94,$76.00
04/01/94,$81.00
05/01/94,$108.00
06/01/94,$128.00
07/01/94,$191.00
08/01/94,$182.00
09/01/94,$202.00
10/01/94,$186.00
11/01/94,$168.00
12/01/94,$149.00
01/01/95,$152.00
02/01/95,$152.00
03/01/95,$163.00
04/01/95,$160.00
05/01/95,$156.00
06/01/95,$142.00
07/01/95,$133.00
08/01/95,$142.00
09/01/95,$125.00
10/01/95,$120.00
11/01/95,$118.00
12/01/95,$100.00
01/01/96,$100.00
02/01/96,$111.00
03/01/96,$106.00
04/01/96,$107.00
05/01/96,$110.00
06/01/96,$106.00
07/01/96,$100.00
08/01/96,$103.00
09/01/96,$97.00
10/01/96,$99.00
11/01/96,$97.00
12/01/96,$90.00
01/01/97,$100.00
02/01/97,$122.00
03/01/97,$137.00
04/01/97,$142.00
05/01/97,$180.00
06/01/97,$155.00
07/01/97,$135.00
08/01/97,$133.00
09/01/97,$133.00
10/01/97,$121.00
11/01/97,$118.00
12/01/97,$130.00
01/01/98,$131.00
02/01/98,$131.00
03/01/98,$120.00
04/01/98,$120.00
05/01/98,$114.00
06/01/98,$104.00
07/01/98,$97.00
08/01/98,$101.00
09/01/98,$96.00
10/01/98,$95.00
11/01/98,$98.00
12/01/98,$101.00
01/01/99,$98.00
02/01/99,$92.00
03/01/99,$89.00
04/01/99,$86.00
05/01/99,$90.00
06/01/99,$86.00
07/01/99,$78.00
08/01/99,$77.00
09/01/99,$72.00
10/01/99,$76.00
11/01/99,$88.00
12/01/99,$96.00
01/01/00,$82.00
02/01/00,$76.00
03/01/00,$73.00
04/01/00,$70.00
05/01/00,$69.00
06/01/00,$65.00
07/01/00,$64.00
08/01/00,$58.00
09/01/00,$57.00
10/01/00,$56.00
11/01/00,$52.00
12/01/00,$48.00
01/01/01,$49.00
02/01/01,$49.00
03/01/01,$49.00
04/01/01,$47.00
05/01/01,$49.00
06/01/01,$47.00
07/01/01,$43.00
08/01/01,$43.00
09/01/01,$41.00
10/01/01,$42.00
11/01/01,$44.00
12/01/01,$43.00
01/01/02,$43.00
02/01/02,$44.00
03/01/02,$49.00
04/01/02,$50.00
05/01/02,$47.00
06/01/02,$46.00
07/01/02,$45.00
08/01/02,$43.00
09/01/02,$48.00
10/01/02,$51.00
11/01/02,$55.00
12/01/02,$52.00
01/01/03,$54.00
02/01/03,$54.00
03/01/03,$50.00
04/01/03,$52.00
05/01/03,$53.00
06/01/03,$49.00
07/01/03,$51.00
08/01/03,$52.00
09/01/03,$54.00
10/01/03,$52.00
11/01/03,$50.00
12/01/03,$52.00
01/01/04,$59.00
02/01/04,$60.00
03/01/04,$61.00
04/01/04,$59.00
05/01/04,$60.00
06/01/04,$64.00
07/01/04,$58.00
08/01/04,$57.00
09/01/04,$61.00
10/01/04,$61.00
11/01/04,$68.00
12/01/04,$78.00
01/01/05,$79.00
02/01/05,$89.00
03/01/05,$101.00
04/01/05,$98.00
05/01/05,$100.00
06/01/05,$96.00
07/01/05,$88.00
08/01/05,$85.00
09/01/05,$79.00
10/01/05,$83.00
11/01/05,$86.00
12/01/05,$87.00
01/01/06,$101.00
02/01/06,$97.00
03/01/06,$93.00
04/01/06,$94.00
05/01/06,$90.00
06/01/06,$86.00
07/01/06,$89.00
08/01/06,$96.00
09/01/06,$96.00
10/01/06,$96.00
11/01/06,$103.00
12/01/06,$108.00
01/01/07,$106.00
02/01/07,$104.00
03/01/07,$100.00
04/01/07,$99.00
05/01/07,$100.00
06/01/07,$107.00
07/01/07,$106.00
08/01/07,$108.00
09/01/07,$113.00
10/01/07,$116.00
11/01/07,$114.00
12/01/07,$118.00
01/01/08,$122.00
02/01/08,$139.00
03/01/08,$136.00
04/01/08,$127.00
05/01/08,$127.00
06/01/08,$131.00
07/01/08,$133.00
08/01/08,$131.00
09/01/08,$127.00
10/01/08,$108.00
11/01/08,$108.00
12/01/08,$103.00
01/01/09,$108.00
02/01/09,$108.00
03/01/09,$106.00
04/01/09,$112.00
05/01/09,$123.00
06/01/09,$119.00
07/01/09,$113.00
08/01/09,$117.00
09/01/09,$116.00
10/01/09,$121.00
11/01/09,$120.00
12/01/09,$125.00
01/01/10,$127.00
02/01/10,$123.00
03/01/10,$125.00
04/01/10,$127.00
05/01/10,$128.00
06/01/10,$142.00
07/01/10,$153.00
08/01/10,$157.00
09/01/10,$164.00
10/01/10,$162.00
11/01/10,$174.00
12/01/10,$184.00
01/01/11,$197.00
02/01/11,$216.00
03/01/11,$224.00
